test_id,PM2.5,PM10,O3
gucheng_aq#0,16,31,45
gucheng_aq#1,17,44,44
gucheng_aq#2,18,38,50
gucheng_aq#3,19,30,52
gucheng_aq#4,20,32,69
gucheng_aq#5,13,22,87
gucheng_aq#6,13,20,102
gucheng_aq#7,14,22,113
gucheng_aq#8,15,26,119
gucheng_aq#9,16,29,119
gucheng_aq#10,16,33,116
gucheng_aq#11,21,44,100
gucheng_aq#12,19,57,72
gucheng_aq#13,29,86,60
gucheng_aq#14,33,78,37
gucheng_aq#15,35,86,5
gucheng_aq#16,34,82,9
gucheng_aq#17,31,79,8
gucheng_aq#18,28,52,14
gucheng_aq#19,26,48,14
gucheng_aq#20,30,59,7
gucheng_aq#21,27,56,20
gucheng_aq#22,19,27,55
gucheng_aq#23,20,31,57
fangshan_aq#0,17,32,40
fangshan_aq#1,17,47,43
fangshan_aq#2,20,47,50
fangshan_aq#3,19,34,54
fangshan_aq#4,19,35,67
fangshan_aq#5,19,32,82
fangshan_aq#6,14,25,98
fangshan_aq#7,13,27,106
fangshan_aq#8,17,33,116
fangshan_aq#9,16,36,117
fangshan_aq#10,17,39,116
fangshan_aq#11,22,54,96
fangshan_aq#12,29,82,72
fangshan_aq#13,28,88,57
fangshan_aq#14,33,92,20
fangshan_aq#15,32,100,4
fangshan_aq#16,34,99,3
fangshan_aq#17,33,101,2
fangshan_aq#18,36,109,3
fangshan_aq#19,38,118,2
fangshan_aq#20,38,109,3
fangshan_aq#21,23,66,6
fangshan_aq#22,23,52,10
fangshan_aq#23,22,54,13
daxing_aq#0,17,31,40
daxing_aq#1,18,43,40
daxing_aq#2,18,44,50
daxing_aq#3,18,31,64
daxing_aq#4,22,33,70
daxing_aq#5,17,31,90
daxing_aq#6,16,27,92
daxing_aq#7,14,30,94
daxing_aq#8,18,39,106
daxing_aq#9,16,44,110
daxing_aq#10,16,46,100
daxing_aq#11,20,55,89
daxing_aq#12,25,73,65
daxing_aq#13,22,66,58
daxing_aq#14,23,68,28
daxing_aq#15,28,72,7
daxing_aq#16,29,76,4
daxing_aq#17,31,80,4
daxing_aq#18,39,112,2
daxing_aq#19,41,129,2
daxing_aq#20,40,121,2
daxing_aq#21,29,90,2
daxing_aq#22,26,69,5
daxing_aq#23,24,65,9
yizhuang_aq#0,15,17,57
yizhuang_aq#1,16,19,59
yizhuang_aq#2,10,26,65
yizhuang_aq#3,13,33,69
yizhuang_aq#4,18,28,79
yizhuang_aq#5,12,23,99
yizhuang_aq#6,11,23,99
yizhuang_aq#7,12,29,102
yizhuang_aq#8,15,41,111
yizhuang_aq#9,11,43,114
yizhuang_aq#10,16,47,102
yizhuang_aq#11,19,48,92
yizhuang_aq#12,20,49,77
yizhuang_aq#13,20,57,52
yizhuang_aq#14,23,66,29
yizhuang_aq#15,25,66,5
yizhuang_aq#16,25,60,11
yizhuang_aq#17,29,72,5
yizhuang_aq#18,36,100,2
yizhuang_aq#19,42,114,2
yizhuang_aq#20,32,69,2
yizhuang_aq#21,26,55,2
yizhuang_aq#22,27,53,2
yizhuang_aq#23,23,49,9
tongzhou_aq#0,17,22,57
tongzhou_aq#1,17,25,54
tongzhou_aq#2,14,29,64
tongzhou_aq#3,14,36,74
tongzhou_aq#4,16,26,82
tongzhou_aq#5,11,24,97
tongzhou_aq#6,13,26,101
tongzhou_aq#7,14,31,111
tongzhou_aq#8,14,24,118
tongzhou_aq#9,13,22,118
tongzhou_aq#10,12,29,112
tongzhou_aq#11,16,47,99
tongzhou_aq#12,20,52,82
tongzhou_aq#13,22,64,46
tongzhou_aq#14,27,72,30
tongzhou_aq#15,31,69,10
tongzhou_aq#16,32,71,8
tongzhou_aq#17,31,77,4
tongzhou_aq#18,30,76,2
tongzhou_aq#19,32,78,2
tongzhou_aq#20,30,68,2
tongzhou_aq#21,23,51,6
tongzhou_aq#22,23,46,6
tongzhou_aq#23,21,43,16
shunyi_aq#0,17,20,74
shunyi_aq#1,16,21,78
shunyi_aq#2,15,23,87
shunyi_aq#3,14,32,90
shunyi_aq#4,14,23,84
shunyi_aq#5,12,24,103
shunyi_aq#6,14,25,102
shunyi_aq#7,13,31,120
shunyi_aq#8,14,21,125
shunyi_aq#9,14,22,124
shunyi_aq#10,13,25,121
shunyi_aq#11,14,31,113
shunyi_aq#12,19,39,99
shunyi_aq#13,16,50,78
shunyi_aq#14,29,78,57
shunyi_aq#15,24,54,43
shunyi_aq#16,23,48,36
shunyi_aq#17,22,43,29
shunyi_aq#18,26,35,10
shunyi_aq#19,27,42,3
shunyi_aq#20,25,39,2
shunyi_aq#21,21,33,20
shunyi_aq#22,19,26,36
shunyi_aq#23,17,26,42
pingchang_aq#0,13,21,28
pingchang_aq#1,14,17,43
pingchang_aq#2,15,17,69
pingchang_aq#3,18,22,77
pingchang_aq#4,14,19,81
pingchang_aq#5,12,24,103
pingchang_aq#6,17,25,99
pingchang_aq#7,14,28,114
pingchang_aq#8,15,30,118
pingchang_aq#9,18,42,118
pingchang_aq#10,14,45,115
pingchang_aq#11,15,40,106
pingchang_aq#12,19,49,82
pingchang_aq#13,19,56,72
pingchang_aq#14,22,62,64
pingchang_aq#15,18,43,57
pingchang_aq#16,20,37,58
pingchang_aq#17,17,35,36
pingchang_aq#18,20,29,32
pingchang_aq#19,20,31,30
pingchang_aq#20,19,23,47
pingchang_aq#21,14,25,61
pingchang_aq#22,15,26,67
pingchang_aq#23,13,32,60
mentougou_aq#0,16,25,53
mentougou_aq#1,16,23,56
mentougou_aq#2,16,19,71
mentougou_aq#3,19,21,78
mentougou_aq#4,15,18,83
mentougou_aq#5,13,23,106
mentougou_aq#6,18,24,97
mentougou_aq#7,16,28,110
mentougou_aq#8,16,25,115
mentougou_aq#9,19,36,115
mentougou_aq#10,18,35,108
mentougou_aq#11,17,58,96
mentougou_aq#12,19,52,80
mentougou_aq#13,24,63,53
mentougou_aq#14,26,70,40
mentougou_aq#15,20,57,45
mentougou_aq#16,20,39,56
mentougou_aq#17,18,32,48
mentougou_aq#18,18,27,42
mentougou_aq#19,19,29,37
mentougou_aq#20,18,26,34
mentougou_aq#21,18,29,38
mentougou_aq#22,18,33,41
mentougou_aq#23,18,34,44
pinggu_aq#0,15,23,56
pinggu_aq#1,16,22,58
pinggu_aq#2,16,21,68
pinggu_aq#3,19,25,68
pinggu_aq#4,15,18,86
pinggu_aq#5,14,23,106
pinggu_aq#6,18,23,97
pinggu_aq#7,16,24,106
pinggu_aq#8,14,24,113
pinggu_aq#9,14,44,114
pinggu_aq#10,15,39,109
pinggu_aq#11,13,99,98
pinggu_aq#12,24,55,79
pinggu_aq#13,32,71,52
pinggu_aq#14,32,64,44
pinggu_aq#15,28,40,39
pinggu_aq#16,25,34,32
pinggu_aq#17,19,30,29
pinggu_aq#18,18,27,32
pinggu_aq#19,19,27,29
pinggu_aq#20,18,24,28
pinggu_aq#21,18,21,24
pinggu_aq#22,19,23,23
pinggu_aq#23,25,34,24
huairou_aq#0,16,23,73
huairou_aq#1,15,20,79
huairou_aq#2,13,17,86
huairou_aq#3,11,21,95
huairou_aq#4,11,19,104
huairou_aq#5,14,21,112
huairou_aq#6,14,27,115
huairou_aq#7,13,23,120
huairou_aq#8,12,19,121
huairou_aq#9,14,24,119
huairou_aq#10,14,27,115
huairou_aq#11,12,58,108
huairou_aq#12,18,37,98
huairou_aq#13,18,48,85
huairou_aq#14,22,60,71
huairou_aq#15,19,32,60
huairou_aq#16,15,23,58
huairou_aq#17,17,27,26
huairou_aq#18,19,29,20
huairou_aq#19,18,27,18
huairou_aq#20,17,26,17
huairou_aq#21,17,21,27
huairou_aq#22,16,21,29
huairou_aq#23,19,27,36
miyun_aq#0,17,23,72
miyun_aq#1,16,21,77
miyun_aq#2,13,19,85
miyun_aq#3,12,22,94
miyun_aq#4,10,20,105
miyun_aq#5,14,24,111
miyun_aq#6,15,24,116
miyun_aq#7,14,22,123
miyun_aq#8,16,25,125
miyun_aq#9,12,28,124
miyun_aq#10,12,26,122
miyun_aq#11,15,28,113
miyun_aq#12,20,38,97
miyun_aq#13,19,41,79
miyun_aq#14,21,61,57
miyun_aq#15,23,51,25
miyun_aq#16,20,40,27
miyun_aq#17,20,32,24
miyun_aq#18,19,35,14
miyun_aq#19,16,32,10
miyun_aq#20,17,28,2
miyun_aq#21,16,27,7
miyun_aq#22,17,27,12
miyun_aq#23,17,34,31
yanqin_aq#0,19,24,53
yanqin_aq#1,18,21,56
yanqin_aq#2,16,26,59
yanqin_aq#3,17,32,65
yanqin_aq#4,21,27,70
yanqin_aq#5,26,38,79
yanqin_aq#6,34,62,80
yanqin_aq#7,33,71,83
yanqin_aq#8,35,50,88
yanqin_aq#9,38,58,87
yanqin_aq#10,37,60,83
yanqin_aq#11,26,68,73
yanqin_aq#12,22,52,84
yanqin_aq#13,24,49,77
yanqin_aq#14,26,71,48
yanqin_aq#15,28,77,28
yanqin_aq#16,29,94,13
yanqin_aq#17,26,77,14
yanqin_aq#18,20,60,4
yanqin_aq#19,20,66,4
yanqin_aq#20,22,71,2
yanqin_aq#21,30,75,2
yanqin_aq#22,31,82,2
yanqin_aq#23,34,91,2
dingling_aq#0,19,25,48
dingling_aq#1,18,23,51
dingling_aq#2,15,24,64
dingling_aq#3,12,21,72
dingling_aq#4,16,18,78
dingling_aq#5,18,22,86
dingling_aq#6,9,16,93
dingling_aq#7,11,21,95
dingling_aq#8,13,29,102
dingling_aq#9,13,30,101
dingling_aq#10,22,36,99
dingling_aq#11,14,30,90
dingling_aq#12,17,54,68
dingling_aq#13,18,50,68
dingling_aq#14,23,49,57
dingling_aq#15,16,45,53
dingling_aq#16,16,45,48
dingling_aq#17,17,37,48
dingling_aq#18,16,35,41
dingling_aq#19,17,33,42
dingling_aq#20,15,23,51
dingling_aq#21,12,19,66
dingling_aq#22,13,22,62
dingling_aq#23,14,18,63
badaling_aq#0,24,51,25
badaling_aq#1,23,39,44
badaling_aq#2,23,48,58
badaling_aq#3,25,52,53
badaling_aq#4,44,81,56
badaling_aq#5,50,73,64
badaling_aq#6,39,52,76
badaling_aq#7,39,41,79
badaling_aq#8,34,39,81
badaling_aq#9,32,42,76
badaling_aq#10,33,61,65
badaling_aq#11,30,64,58
badaling_aq#12,26,64,49
badaling_aq#13,23,50,57
badaling_aq#14,20,37,48
badaling_aq#15,24,64,31
badaling_aq#16,26,82,14
badaling_aq#17,26,86,8
badaling_aq#18,26,76,4
badaling_aq#19,25,52,6
badaling_aq#20,24,40,3
badaling_aq#21,23,37,10
badaling_aq#22,24,41,10
badaling_aq#23,28,50,12
miyunshuiku_aq#0,17,23,68
miyunshuiku_aq#1,17,19,76
miyunshuiku_aq#2,13,21,91
miyunshuiku_aq#3,16,29,84
miyunshuiku_aq#4,20,38,94
miyunshuiku_aq#5,11,23,114
miyunshuiku_aq#6,11,28,119
miyunshuiku_aq#7,9,22,123
miyunshuiku_aq#8,10,22,125
miyunshuiku_aq#9,11,22,128
miyunshuiku_aq#10,11,19,125
miyunshuiku_aq#11,16,28,109
miyunshuiku_aq#12,14,23,107
miyunshuiku_aq#13,12,22,108
miyunshuiku_aq#14,13,34,90
miyunshuiku_aq#15,19,44,67
miyunshuiku_aq#16,21,48,55
miyunshuiku_aq#17,26,35,46
miyunshuiku_aq#18,22,31,49
miyunshuiku_aq#19,22,33,44
miyunshuiku_aq#20,20,27,44
miyunshuiku_aq#21,14,20,59
miyunshuiku_aq#22,15,21,57
miyunshuiku_aq#23,12,28,58
donggaocun_aq#0,17,23,68
donggaocun_aq#1,17,19,76
donggaocun_aq#2,13,21,91
donggaocun_aq#3,16,29,84
donggaocun_aq#4,17,31,90
donggaocun_aq#5,12,31,108
donggaocun_aq#6,12,40,108
donggaocun_aq#7,12,43,107
donggaocun_aq#8,13,43,107
donggaocun_aq#9,13,44,108
donggaocun_aq#10,14,51,102
donggaocun_aq#11,16,41,86
donggaocun_aq#12,19,26,78
donggaocun_aq#13,24,32,56
donggaocun_aq#14,26,33,61
donggaocun_aq#15,27,30,52
donggaocun_aq#16,28,34,51
donggaocun_aq#17,29,31,49
donggaocun_aq#18,24,28,50
donggaocun_aq#19,25,30,44
donggaocun_aq#20,23,31,41
donggaocun_aq#21,14,25,57
donggaocun_aq#22,15,25,56
donggaocun_aq#23,13,32,58
yongledian_aq#0,19,24,49
yongledian_aq#1,22,28,53
yongledian_aq#2,27,40,55
yongledian_aq#3,19,26,75
yongledian_aq#4,18,24,76
yongledian_aq#5,15,31,89
yongledian_aq#6,14,24,100
yongledian_aq#7,14,26,98
yongledian_aq#8,20,28,101
yongledian_aq#9,20,32,103
yongledian_aq#10,22,40,103
yongledian_aq#11,22,57,79
yongledian_aq#12,24,64,63
yongledian_aq#13,30,69,42
yongledian_aq#14,31,75,8
yongledian_aq#15,35,58,2
yongledian_aq#16,35,51,2
yongledian_aq#17,37,49,2
yongledian_aq#18,37,57,2
yongledian_aq#19,35,64,2
yongledian_aq#20,35,61,2
yongledian_aq#21,33,60,9
yongledian_aq#22,33,61,8
yongledian_aq#23,41,83,12
yufa_aq#0,17,24,46
yufa_aq#1,22,30,46
yufa_aq#2,31,43,45
yufa_aq#3,20,24,69
yufa_aq#4,17,21,74
yufa_aq#5,15,34,85
yufa_aq#6,14,31,92
yufa_aq#7,17,30,92
yufa_aq#8,15,32,97
yufa_aq#9,12,38,98
yufa_aq#10,15,35,96
yufa_aq#11,19,42,84
yufa_aq#12,18,63,60
yufa_aq#13,31,78,33
yufa_aq#14,35,74,16
yufa_aq#15,40,68,14
yufa_aq#16,41,64,6
yufa_aq#17,41,57,12
yufa_aq#18,44,56,17
yufa_aq#19,58,60,16
yufa_aq#20,56,68,12
yufa_aq#21,56,84,4
yufa_aq#22,56,84,4
yufa_aq#23,58,120,4
liulihe_aq#0,13,20,42
liulihe_aq#1,17,24,44
liulihe_aq#2,28,36,51
liulihe_aq#3,20,24,69
liulihe_aq#4,17,22,72
liulihe_aq#5,14,34,86
liulihe_aq#6,12,30,91
liulihe_aq#7,12,30,88
liulihe_aq#8,3,33,90
liulihe_aq#9,6,44,96
liulihe_aq#10,6,40,94
liulihe_aq#11,11,49,87
liulihe_aq#12,8,88,64
liulihe_aq#13,6,90,31
liulihe_aq#14,11,77,13
liulihe_aq#15,6,85,3
liulihe_aq#16,7,87,2
liulihe_aq#17,8,78,2
liulihe_aq#18,6,66,2
liulihe_aq#19,4,47,2
liulihe_aq#20,6,42,2
liulihe_aq#21,6,36,2
liulihe_aq#22,5,34,2
liulihe_aq#23,5,99,6
qianmen_aq#0,3,24,48
qianmen_aq#1,13,24,45
qianmen_aq#2,14,22,58
qianmen_aq#3,12,14,69
qianmen_aq#4,12,24,79
qianmen_aq#5,13,29,93
qianmen_aq#6,15,29,100
qianmen_aq#7,22,42,94
qianmen_aq#8,8,29,96
qianmen_aq#9,7,32,102
qianmen_aq#10,8,37,91
qianmen_aq#11,10,48,86
qianmen_aq#12,16,104,67
qianmen_aq#13,16,85,30
qianmen_aq#14,17,87,20
qianmen_aq#15,8,104,6
qianmen_aq#16,8,106,3
qianmen_aq#17,17,102,2
qianmen_aq#18,14,92,2
qianmen_aq#19,10,66,2
qianmen_aq#20,11,62,3
qianmen_aq#21,8,34,4
qianmen_aq#22,6,22,4
qianmen_aq#23,6,40,6
yongdingmennei_aq#0,13,25,42
yongdingmennei_aq#1,21,26,40
yongdingmennei_aq#2,18,38,54
yongdingmennei_aq#3,13,17,69
yongdingmennei_aq#4,14,27,82
yongdingmennei_aq#5,14,28,94
yongdingmennei_aq#6,12,21,103
yongdingmennei_aq#7,14,29,103
yongdingmennei_aq#8,15,32,110
yongdingmennei_aq#9,14,31,112
yongdingmennei_aq#10,14,40,104
yongdingmennei_aq#11,16,42,81
yongdingmennei_aq#12,17,93,59
yongdingmennei_aq#13,19,80,33
yongdingmennei_aq#14,27,72,31
yongdingmennei_aq#15,28,84,10
yongdingmennei_aq#16,32,88,3
yongdingmennei_aq#17,40,89,2
yongdingmennei_aq#18,39,75,2
yongdingmennei_aq#19,35,51,2
yongdingmennei_aq#20,34,51,2
yongdingmennei_aq#21,30,47,2
yongdingmennei_aq#22,23,29,2
yongdingmennei_aq#23,20,42,5
xizhimenbei_aq#0,24,34,27
xizhimenbei_aq#1,24,36,25
xizhimenbei_aq#2,20,42,46
xizhimenbei_aq#3,16,34,58
xizhimenbei_aq#4,16,32,78
xizhimenbei_aq#5,20,28,83
xizhimenbei_aq#6,24,28,91
xizhimenbei_aq#7,22,30,95
xizhimenbei_aq#8,18,31,96
xizhimenbei_aq#9,18,31,96
xizhimenbei_aq#10,21,31,92
xizhimenbei_aq#11,18,42,77
xizhimenbei_aq#12,26,68,53
xizhimenbei_aq#13,27,92,35
xizhimenbei_aq#14,33,77,32
xizhimenbei_aq#15,38,92,10
xizhimenbei_aq#16,41,100,6
xizhimenbei_aq#17,46,115,2
xizhimenbei_aq#18,47,80,2
xizhimenbei_aq#19,40,56,2
xizhimenbei_aq#20,37,58,2
xizhimenbei_aq#21,28,52,3
xizhimenbei_aq#22,23,41,6
xizhimenbei_aq#23,20,50,6
nansanhuan_aq#0,18,41,30
nansanhuan_aq#1,18,42,31
nansanhuan_aq#2,16,56,43
nansanhuan_aq#3,15,55,50
nansanhuan_aq#4,13,50,59
nansanhuan_aq#5,13,45,70
nansanhuan_aq#6,13,51,68
nansanhuan_aq#7,13,87,67
nansanhuan_aq#8,14,66,69
nansanhuan_aq#9,13,68,69
nansanhuan_aq#10,14,64,62
nansanhuan_aq#11,15,66,57
nansanhuan_aq#12,26,76,28
nansanhuan_aq#13,28,94,18
nansanhuan_aq#14,30,88,15
nansanhuan_aq#15,31,82,3
nansanhuan_aq#16,34,81,2
nansanhuan_aq#17,40,100,2
nansanhuan_aq#18,44,118,2
nansanhuan_aq#19,44,120,2
nansanhuan_aq#20,31,92,2
nansanhuan_aq#21,26,56,5
nansanhuan_aq#22,23,53,10
nansanhuan_aq#23,25,81,3
dongsihuan_aq#0,16,47,35
dongsihuan_aq#1,16,45,37
dongsihuan_aq#2,14,52,44
dongsihuan_aq#3,14,60,48
dongsihuan_aq#4,13,60,56
dongsihuan_aq#5,12,70,69
dongsihuan_aq#6,12,69,71
dongsihuan_aq#7,15,337,74
dongsihuan_aq#8,13,477,76
dongsihuan_aq#9,13,423,76
dongsihuan_aq#10,13,339,66
